Airport	State	City	Airport Name	Airport Size	Map																				
LAS	NV	Las Vegas	McCarran International Airport	Large Hub
LAW	OK	Lawton	Lawton–Fort Sill Regional Airport	Non-Hub
LAX	CA	Los Angeles	Los Angeles International Airport	Large Hub
LBB	TX	Lubbock	Lubbock Preston Smith International Airport	Small Hub
LBE	PA	Latrobe	Arnold Palmer Regional Airport	Non-Hub
LCH	LA	Lake Charles	Lake Charles Regional Airport	Non-Hub
LCK	OH	Columbus	Rickenbacker International Airport	Non-Hub
LEB	NH	Lebanon	Lebanon Municipal Airport	Non-Hub
LEX	KY	Lexington	Blue Grass Airport	Small Hub
LFT	LA	Lafayette	Lafayette Regional Airport	Non-Hub
LGA	NY	New York	LaGuardia Airport (and Marine Air Terminal)	Large Hub
LGB	CA	Long Beach	Long Beach Airport (Daugherty Field)	Small Hub
LHD	AK	Anchorage	Lake Hood Seaplane Base	Non-Hub
LIH	HI	Lihue, Kauai	Lihue Airport	Small Hub
LIT	AR	Little Rock	Bill and Hillary Clinton National Airport (Adams Field)	Small Hub
LMT	OR	Klamath Falls	Klamath Falls Airport (Kingsley Field)	Non-Hub
LNK	NE	Lincoln	Lincoln Airport	Non-Hub
LNY	HI	Lanai City, Lanai	Lanai Airport	Non-Hub
LRD	TX	Laredo	Laredo International Airport	Non-Hub
LSE	WI	La Crosse	La Crosse Regional Airport	Non-Hub
LUK	OH	Cincinnati	Cincinnati Municipal Lunken Airport	Non-Hub
LWB	WV	Lewisburg	Greenbrier Valley Airport	Non-Hub
LWS	ID	Lewiston	Lewiston-Nez Perce County Airport	Non-Hub
LYH	VA	Lynchburg	Lynchburg Regional Airport (Preston Glenn Field)	Non-Hub
MAF	TX	Midland	Midland International Airport	Small Hub
MBS	MI	Saginaw	MBS International Airport	Non-Hub
MCI	MS	Kansas City	Kansas City International Airport	Medium Hub
MCO	FL	Orlando	Orlando International Airport	Large Hub
MDT	PA	Harrisburg/Middletown	Harrisburg International Airport	Small Hub
MDW	IL	Chicago	Chicago Midway International Airport	Large Hub
MEM	TN	Memphis	Memphis International Airport	Small Hub
MFE	TX	McAllen	McAllen-Miller International Airport (McAllen Miller International)	Small Hub
MFR	OR	Medford	Rogue Valley International-Medford Airport	Non-Hub
MGM	AL	Montgomery	Montgomery Regional Airport (Dannelly Field)	Non-Hub
MGW	WV	Morgantown	Morgantown Municipal Airport (Walter L. Bill Hart Field)	Non-Hub
MHK	KS	Manhattan	Manhattan Regional Airport	Non-Hub
MHT	NH	Manchester	Manchester–Boston Regional Airport	Small Hub
MIA	FL	Miami	Miami International Airport	Large Hub
MKE	WI	Milwaukee	General Mitchell International Airport	Medium Hub
MKG	MI	Muskegon	Muskegon County Airport	Non-Hub
MKK	HI	Kaunakakai, Molokai	Molokai Airport	Non-Hub
MLB	FL	Melbourne	Melbourne International Airport	Non-Hub
MLI	IL	Moline	Quad City International Airport	Non-Hub
MLU	LA	Monroe	Monroe Regional Airport	Non-Hub
MMH	CA	Mammoth Lakes	Mammoth Yosemite Airport	Non-Hub [nb 1]
MOB	AL	Mobile	Mobile Regional Airport	Non-Hub
MOD	CA	Modesto	Modesto City–County Airport (Harry Sham Field)	Non-Hub
MOT	ND	Minot	Minot International Airport	Non-Hub
MRI	AK	Anchorage	Merrill Field	Non-Hub
MRY	AR	Monterey	Monterey Regional Airport	Non-Hub
MSN	WI	Madison	Dane County Regional Airport (Truax Field)	Small Hub
MSO	MT	Missoula	Missoula International Airport	Non-Hub
MSP	MN	Minneapolis	Minneapolis–St. Paul International Airport (Wold–Chamberlain Field)	Large Hub
MSY	LA	New Orleans	Louis Armstrong New Orleans International Airport	Medium Hub
MTJ	CA	Montrose	Montrose Regional Airport	Non-Hub
MVY	MA	Vineyard Haven	Martha's Vineyard Airport	Non-Hub
MWA	IL	Marion	Williamson County Regional Airport	Non-Hub
MYR	SC	Myrtle Beach	Myrtle Beach International Airport	Small Hub
NYL	AZ	Yuma	Yuma International Airport/MCAS Yuma	Non-Hub
OAJ	NC	Jacksonville	Albert J. Ellis Airport	Non-Hub
OAK	CA	Oakland	Oakland International Airport	Medium Hub
OGG	HI	Kahului, Maui	Kahului Airport	Medium Hub
OKC	OK	Oklahoma City	Will Rogers World Airport	Small Hub
OMA	NE	Omaha	Eppley Airfield	Medium Hub
OME	AK	Nome	Nome Airport	Non-Hub
ONT	CA	Ontario	Ontario International Airport	Medium Hub
ORD	IL	Chicago	Chicago O'Hare International Airport	Large Hub
ORF	VA	Norfolk	Norfolk International Airport	Small Hub
ORH	MA	Worcester	Worcester Regional Airport	Non-Hub
OTH	OR	North Bend	Southwest Oregon Regional Airport	Non-Hub
OTZ	AK	Kotzebue	Ralph Wien Memorial Airport	Non-Hub
OWB	KY	Owensboro	Owensboro-Daviess County Regional Airport	Non-Hub
PAH	KY	Paducah	Barkley Regional Airport	Non-Hub
PBG	NY	Plattsburgh	Plattsburgh International Airport	Non-Hub
PBI	FL	West Palm Beach	Palm Beach International Airport	Medium Hub
PDX	OR	Portland	Portland International Airport	Large Hub
PGA	AZ	Page	Page Municipal Airport	Non-Hub
PGD	FL	Punta Gorda	Punta Gorda Airport	Non-Hub
PGV	NC	Greenville	Pitt-Greenville Airport	Non-Hub
PHF	VA	Newport News	Newport News/Williamsburg International Airport (Patrick Henry Field)	Non-Hub
PHL	PA	Philadelphia	Philadelphia International Airport	Large Hub
PHX	AZ	Phoenix	Phoenix Sky Harbor International Airport	Large Hub
PIA	IL	Peoria	General Wayne A. Downing Peoria International Airport	Medium Hub
PIB	MS	Hattiesburg/Laurel	Hattiesburg–Laurel Regional Airport	Non-Hub
PIE	FL	St. Petersburg/Clearwater	St. Pete–Clearwater International Airport	Small Hub
PIH	ID	Pocatello/Arbon Valley	Pocatello Regional Airport	Non-Hub
PIR	SD	Pierre	Pierre Regional Airport	Non-Hub
PIT	PA	Pittsburgh	Pittsburgh International Airport	Medium Hub
PLN	MI	Pellston	Pellston Regional Airport of Emmet County	Non-Hub
PNS	FL	Pensacola	Pensacola International Airport (Pensacola Gulf Coast Regional Airport)	Small Hub
PPG	AS	Pago Pago, Tutuila	Pago Pago International Airport	Non-Hub
PQI	ME	Presque Isle	Northern Maine Regional Airport at Presque Isle	Non-Hub
PSC	WA	Pasco	Tri-Cities Airport	Non-Hub
PSE	PR	Ponce	Mercedita International Airport	Non-Hub
PSG	AK	Petersburg	Petersburg James A. Johnson Airport	Non-Hub
PSM	NH	Portsmouth	Portsmouth International Airport at Pease	Non-Hub
PSP	CA	Palm Springs	Palm Springs International Airport	Small Hub
PUW	WA	Pullman/Moscow, Idaho	Pullman/Moscow Regional Airport	Non-Hub
PVC	MA	Provincetown	Provincetown Municipal Airport	Non-Hub
PVD	RI	Providence/Warwick	Theodore Francis Green State Airport	Small Hub
PVU	UT	Provo	Provo Municipal Airport	Non-Hub [nb 3]
PWM	ME	Portland	Portland International Jetport	Small Hub
RAP	SD	Rapid City	Rapid City Regional Airport	Non-Hub
RDD	CA	Redding	Redding Municipal Airport	Non-Hub
RDM	OR	Redmond	Redmond Municipal Airport (Roberts Field)	Non-Hub
RDU	NC	Raleigh	Raleigh-Durham International Airport	Medium Hub
RFD	IL	Rockford	Chicago Rockford International Airport	Non-Hub
RHI	WI	Rhinelander	Rhinelander-Oneida County Airport	Non-Hub
RIC	VI	Richmond	Richmond International Airport (Byrd Field)	Small Hub
RIW	WY	Riverton	Riverton Regional Airport	Non-Hub
RKD	ME	Rockland	Knox County Regional Airport	Non-Hub
RKS	WY	Rock Springs	Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport)	Non-Hub
RNO	NV	Reno	Reno/Tahoe International Airport	Small Hub
ROA	VI	Roanoke	Roanoke Regional Airport (Woodrum Field)	Non-Hub
ROC	NY	Rochester	Greater Rochester International Airport	Small Hub
ROW	NY	Roswell	Roswell International Air Center	Non-Hub
RST	MN	Rochester	Rochester International Airport	Non-Hub
