Helmeted hornbill			Hornbill	Rhinoplax vigil	Rhinoplax		Bucerotidae	Bucerotiformes
Tanzanian red-billed hornbill			Hornbill	Tockus ruahae	Tockus		Bucerotidae	Bucerotiformes
Bradfield's hornbill			Hornbill	Lophoceros bradfieldi	Lophoceros		Bucerotidae	Bucerotiformes
Monteiro's hornbill			Hornbill	Tockus monteiri	Tockus		Bucerotidae	Bucerotiformes
Papuan hornbill			Hornbill	Rhyticeros plicatus	Rhyticeros		Bucerotidae	Bucerotiformes
Sri Lanka grey hornbill			Hornbill	Ocyceros gingalensis	Ocyceros		Bucerotidae	Bucerotiformes
Writhed hornbill			Hornbill	Rhabdotorrhinus leucocephalus	Rhabdotorrhinus		Bucerotidae	Bucerotiformes
Luzon hornbill			Hornbill	Penelopides manillae	Penelopides		Bucerotidae	Bucerotiformes
Black-casqued wattled hornbill			Hornbill	Ceratogymna atrata	Ceratogymna		Bucerotidae	Bucerotiformes
Wreathed hornbill			Hornbill	Rhyticeros undulatus	Rhyticeros		Bucerotidae	Bucerotiformes
Tickell's brown hornbill			Hornbill	Anorrhinus tickelli	Anorrhinus		Bucerotidae	Bucerotiformes
African grey hornbill			Hornbill	Lophoceros nasutus	Lophoceros		Bucerotidae	Bucerotiformes
Malabar pied hornbill			Hornbill	Anthracoceros coronatus	Anthracoceros		Bucerotidae	Bucerotiformes
Knobbed hornbill			Hornbill	Rhyticeros cassidix	Rhyticeros		Bucerotidae	Bucerotiformes
Southern red-billed hornbill			Hornbill	Tockus rufirostris	Tockus		Bucerotidae	Bucerotiformes
White-crested hornbill			Hornbill	Horizocerus albocristatus	Horizocerus		Bucerotidae	Bucerotiformes
Brown-cheeked hornbill			Hornbill	Bycanistes cylindricus	Bycanistes		Bucerotidae	Bucerotiformes
Sumba hornbill			Hornbill	Rhyticeros everetti	Rhyticeros		Bucerotidae	Bucerotiformes
Crowned hornbill			Hornbill	Lophoceros alboterminatus	Lophoceros		Bucerotidae	Bucerotiformes
Indian grey hornbill			Hornbill	Ocyceros biostris	Ocyceros		Bucerotidae	Bucerotiformes
Oriental pied hornbill			Hornbill	Anthracoceros albirostris	Anthracoceros		Bucerotidae	Bucerotiformes
Plain-pouched hornbill			Hornbill	Rhyticeros subruficollis	Rhyticeros		Bucerotidae	Bucerotiformes
Piping hornbill			Hornbill	Bycanistes fistulator	Bycanistes		Bucerotidae	Bucerotiformes
Damara red-billed hornbill			Hornbill	Tockus damarensis	Tockus		Bucerotidae	Bucerotiformes
Southern yellow-billed hornbill			Hornbill	Tockus leucomelas	Tockus		Bucerotidae	Bucerotiformes
Sulawesi hornbill			Hornbill	Rhabdotorrhinus exarhatus	Rhabdotorrhinus		Bucerotidae	Bucerotiformes
Mindoro hornbill			Hornbill	Penelopides mindorensis	Penelopides		Bucerotidae	Bucerotiformes
Von der Decken's hornbill			Hornbill	Tockus deckeni	Tockus		Bucerotidae	Bucerotiformes
Black hornbill			Hornbill	Anthracoceros malayanus	Anthracoceros		Bucerotidae	Bucerotiformes
Rufous-headed hornbill			Hornbill	Rhabdotorrhinus waldeni	Rhabdotorrhinus		Bucerotidae	Bucerotiformes
Yellow-casqued wattled hornbill			Hornbill	Ceratogymna elata	Ceratogymna		Bucerotidae	Bucerotiformes
White-crowned hornbill			Hornbill	Berenicornis comatus	Berenicornis		Bucerotidae	Bucerotiformes
Mindanao hornbill			Hornbill	Penelopides affinis	Penelopides		Bucerotidae	Bucerotiformes
Eastern yellow-billed hornbill			Hornbill	Tockus flavirostris	Tockus		Bucerotidae	Bucerotiformes
African pied hornbill			Hornbill	Lophoceros fasciatus	Lophoceros		Bucerotidae	Bucerotiformes
Great hornbill			Hornbill	Buceros bicornis	Buceros		Bucerotidae	Bucerotiformes
Black dwarf hornbill			Hornbill	Horizocerus hartlaubi	Horizocerus		Bucerotidae	Bucerotiformes
Wrinkled hornbill			Hornbill	Rhabdotorrhinus corrugatus	Rhabdotorrhinus		Bucerotidae	Bucerotiformes
Black-and-white-casqued hornbill			Hornbill	Bycanistes subcylindricus	Bycanistes		Bucerotidae	Bucerotiformes
Visayan hornbill			Hornbill	Penelopides panini	Penelopides		Bucerotidae	Bucerotiformes
Sulu hornbill			Hornbill	Anthracoceros montani	Anthracoceros		Bucerotidae	Bucerotiformes
Pale-billed hornbill			Hornbill	Lophoceros pallidirostris	Lophoceros		Bucerotidae	Bucerotiformes
Hemprich's hornbill			Hornbill	Lophoceros hemprichii	Lophoceros		Bucerotidae	Bucerotiformes
Bushy-crested hornbill			Hornbill	Anorrhinus galeritus	Anorrhinus		Bucerotidae	Bucerotiformes
White-thighed hornbill			Hornbill	Bycanistes albotibialis	Bycanistes		Bucerotidae	Bucerotiformes
Red-billed dwarf hornbill			Hornbill	Lophoceros camurus	Lophoceros		Bucerotidae	Bucerotiformes
Samar hornbill			Hornbill	Penelopides samarensis	Penelopides		Bucerotidae	Bucerotiformes
Trumpeter hornbill			Hornbill	Bycanistes bucinator	Bycanistes		Bucerotidae	Bucerotiformes
Jackson's hornbill			Hornbill	Tockus jacksoni	Tockus		Bucerotidae	Bucerotiformes
Palawan hornbill			Hornbill	Antracoceros marchei	Antracoceros		Bucerotidae	Bucerotiformes
Northern red-billed hornbill			Hornbill	Tockus erythrorhynchus	Tockus		Bucerotidae	Bucerotiformes
Malabar grey hornbill			Hornbill	Ocyceros griseus	Ocyceros		Bucerotidae	Bucerotiformes

Yellow-naped		YNA	Amazon	Amazona auropalliata	Amazona		Psittacidae	Psittaciformes	
Blue-fronted		BFA	Amazon	A. aestiva	Amazona		Psittacidae	Psittaciformes	
Double Yellow-headed		DYH	Amazon	Amazona oratrix	Amazona		Psittacidae	Psittaciformes	
Lilac-crowned			Amazon	Amazona finschi	Amazona		Psittacidae	Psittaciformes	
Panama			Amazon	Amazona ochrocephala panamensis	Amazona		Psittacidae	Psittaciformes	
Yellow-headed		YHA	Amazon	Amazona oratrix	Amazona		Psittacidae	Psittaciformes	
Mexican Red-headed	Red-crowned		Amazon	Amazona viridigenalis	Amazona		Psittacidae	Psittaciformes	
Bodine's	Festive		Amazon	Amazona festiva	Amazona		Psittacidae	Psittaciformes	
Tucumán			Amazon	Amazona tucumana	Amazona		Psittacidae	Psittaciformes	
Vinaceous-breasted		Vinaceous	Amazon	Amazona vinacea	Amazona		Psittacidae	Psittaciformes	"(M) ""Marco"""
Black-billed			Amazon	Amazona agilis	Amazona		Psittacidae	Psittaciformes	
White-fronted			Amazon	Amazona albifrons	Amazona		Psittacidae	Psittaciformes	
Southern Mealy			Amazon	Amazona farinosa	Amazona		Psittacidae	Psittaciformes	
